tweet	topic	sentiment
covid	o	-1.0
vaccinesceptic urged jabbed save lives #pembrokeshire	ov	0.0
position budget country apbn pen covid19 rp74477 trillion onethird budget head regional office directorate treasury papua province burhani media crew thursday#westpapua #papua	g	0.0
yall smell lockdown coming variant aint happening	m	0.0
announce vaccine guarantee protection variants failed comprehension school hey	m	-1.0
sucks quarantine travel restrictions sound public health measures deadly contagious diseases course experience virus travels faster news singling countries probably effective	m	1.0
luck fortunate substantial effects mildly sore arm 3 moderna doses placebo theres hope	p	1.0
complacent #germany facing bleak 2022 lags uk chancellor warned #brexit #olafscholz #merkel	g	0.0
determined prolong pandemicvaccine mandates unconstitutional theyve decades involve communist tacticsits staggering stupid	p	-1.0
refusingremember drill baby drilleverybody jumping oil wagon return investments werent greatthan covid invest domestic oil production throw stock market	o	-1.0
son 29 ago hooping cough vaccination fine feel pain prayers	ov	1.0
vax passport isnt proof jabed exemption vax passport hard understand vax messed critical thinking rest covid lemmings	ov	-1.0
omicron covid19 variant monitored wa sets reopening date mark mcgowan	g	0.0
desperation hold onto belief covid deadly luck youll majority people bull lies fear mongering means whatever floats boat guess	o	-1.0
researchers determine vaccination regimens twist arms hard politically feasible people stop	p	0.0
vaccinated people die 2 yearsnobel peace prize winner virologist luc montagnier confirmed chance survival people received form vaccine	ov	-1.0
devils detail vaccinated defined jab jab 2 weeks havent elapsed months ago	ov	-1.0
strongly suggest live bexley sidcup constituency vote elect richard tice thursday loud vocal opposition parliament future ridiculous covid measures following party whip	g	1.0
am shopping cause fear lockdown return listen	o	0.0
love solar powered microchips vaccine inside body completely unexposed sunlight mmm yummy	ov	0.0
th africa #as complained punished instead applauded discovering omicron concerning variant covid19	g	0.0
government teat business run business aware due lack supports latter covid	g	-1.0
hello omg vaccine sp log fcukd	ov	-1.0
yeah id real life pictures bacteria shown graphics enhanced real pictures covid variants	o	0.0
people call trump racist banned travel chinabut chinese nationals else travel china start pandemic	g	1.0
whatever theyre told daddy governmentthis projectiontrump daddy governmentfew people vaccinated told vaccinated considered scientific evidence decided themselves	g	0.0
confidential ocgn #covaxin 9000000th time happening behindthescenes	o	0.0
consistently demands covid action else acting themselveswe vaccine mandates serious push towards vaccination rates third doses measures provincial responsibilities jurisdiction act	p	1.0
booster jab cancelled	a	0.0
happening prior pandemic rushed middle specifically future little sooner expected	o	0.0
son covid vaccine scheduled walgreens received confirmation email yesterday drove hour round trip told pharmacy closed weekends reschedule incredibly frustrating	p	-1.0
omicron reason concerned de gascun	s	0.0
solo belle notizie thanks #covid #covid19	o	1.0
oh yes cdc analysis doctored covid deniers trump admin supports argument	g	-1.0
wake qld vaccinated travellers allowed sanot steady flow covid casesvaccination stop transmission whats vaccine passportsthey offer protection#auspol	a	-1.0
fck covid	o	-1.0
condolences families loved ones friends communities 41 people lost covid19 absence deeply	o	1.0
am signing lifetime booster shots undisclosed ingredients undisclosed manufacturing process pharma zero liability jab injures kills costly follow care heart free shot	a	-1.0
virus talking media thats agree talking covid 19 998 survival ratei people covid people survived	p	0.0
omg mean complete lockdown	m	0.0
fda authorizes covid boosters adults mdedge internal medicine	g	0.0
delta variant suddenly names line skipped omicron acceleration naming variants jumped agenda accelerated	ov	0.0
covid related air sand look record border crossings illegals maybe look commenting fyi covid 19 doesnt exist produce 1 1 truth isolation source cant	g	0.0
vaccinated	ov	0.0
transmission potential vaccinated unvaccinated persons infected sarscov2 delta variant federal prison julyaugust 2021	ov	0.0
pfizer jab time tweet mckeith looks bollocks	ov	-1.0
#thailand recorded 6073 #covid19 32 deaths saturday	g	-1.0
officials briefed pm modi variant concern #omicron characteristics impact seen various countries implications india discussed pm spoke proactive light variant pmo #omicronvariant	g	0.0
cant taxi youve covid stupid suggestion	m	-1.0
whiskey recommendations omicron round pandemic	ov	0.0
variant easily transmitted evades jab easily deadlyweird	ov	0.0
south africa world precious gift gratitude support resources battle own outbreak gift deserves treated respect deserves acting itby	g	1.0
cardinal parolin fraternity hope keys finding crises vatican news	g	1.0
omicron anagram moronic laughing	o	0.0
rep ronny jackson raved trumps health top white house physician called omicron midterm election variant democrats somehow cooked push mailin ballots via	g	-1.0
treating covid19 cold	o	0.0
virus weak release vaccine weaken immune system kill youdarkest winter	ov	-1.0
doctors covid	s	1.0
covid news passed vibe check	o	0.0
thanks lot amazing gift time winning help lot pandemic covid19 thanks received prize instantly #legit #dogespay #dogepromotelegit	o	1.0
maldivian leader concerned covid variant plans ramp vaccinations	g	0.0
vaccine mandates violate nuremberg code constitution civil rights mandate virus existed founded crooked nih crooked fauci steal election dictator	g	-1.0
#omicron preparing dutch superfood called boerenkool guaranteed protection covidflu poison pfizer jab	a	1.0
protesting vaccination pass segregate people	m	0.0
vaccine resistant haha didnt tell happen magic poison jab live life albertans dont listen word lying pos control sick sick dangerous game playing	g	-1.0
steve kirsch45 deaths covid vaccination happen 2 weeks 59 4 weeks 63 5 weeksdoing conservative estimates americans killed vaccine leads inevitable conclusion vaccines stopped	a	-1.0
jesus christ lol preexisting health issues doubt virus manmade dont cry ive gotten shit twice honestly vaccinated creating strains stupidity unfixable ignorance bliss	a	0.0
wind hospital covid youll needle sticks imagined	o	-1.0
imposes travel ban eight african countries omicron variant	g	0.0
realize variants created leaky vaccines vaccine doesnt kill virus mutates vaccine	a	0.0
total covid death distribution county wa 20211126 covid insights analytics team usafacts #datavisualization #datascience #analytics #health #data #covid19 #publichealth #covid #globalhealth	s	0.0
lockdown karnataka dec 15 bucket tv	g	0.0
delta variant responsible 99 covid globally who#covidvariant #coronavirus	g	0.0
darkest hours discover true strength brilliant light ourselves dimmed doe zantamata#quote #covid19	o	1.0
rage cancelled shouldnt gone ahead amidst pandemic forget covid cancelling rage save women horrors boozed misogynistic barelymen themselves prove environment offers lose	o	0.0
petition transfer billion dollars worth shiba inu covid relief fund coins india coins start national coin buy #india coin low #shibaarmy #dogecoin #bitcoin #shibainu #elonmusk #eth #btc #ethereum #bnb	g	0.0
fear mongering pricks guess lockdown couple boostersthere goes christmas	m	-1.0
#update dutch health authorities discovered 13 omicron strain passengers flights south africa 61 600 travellers klm planes tested positive covid19 friday	g	-1.0
pfizer booster month ago	p	1.0
vaxxed dont getting tested idiot vaxxed responsible stay home quarantine unvaxxed dont care die die christian sentiment	p	-1.0
arent immune level resistance vaccinatedthere indicators virus actually attacks immune response pathways putting faith virus safe lol	p	0.0
vaccine drug teaches immune system recognise pathogen ill definition semantic medical	p	0.0
policy fear oppressive maintain safety flawed undesirable vaccine criminals rich	a	-1.0
pose risk unvaccinated vaccinated simple	p	0.0
exactly game cynical cruel attempting leverage political result causing avoidable deaths misery innocent people families suffer following gops idiotic advice vaccinated	g	-1.0
including 15 imported 13094 domestic transmissions logged 60 provinces cities	s	0.0
context possibilities omicron	o	0.0
daily telegraph altered news headline	o	0.0
idiots wont vaccinateddont pretend didnt supply tools didyou cant cure stupid country	g	-1.0
yes varient omicron anagram moronic	o	-1.0
wont read ridiculous articleof course biden cant control natural disaster trump followers discount vaccine equate bidens term trumps disaster	g	-1.0
abandoing pandemic dog im phase life	o	0.0
warnings omicron variant writing overhyped stand bethany mandel whos critical mainstream news outlets coverage pandemic weighs #danabramslive #newsnation	o	0.0
avail turkish airlines flight change policy comfortable journey#turkishairlinesflightchangepolicy#turkishairlinesflightpolicyvisit	m	0.0
im mandates cant fuck karen kyle vaccine decision impact	g	0.0
classification omicron b11529 sarscov2 variant concern	s	0.0
covid rising rapidly major south african cities	g	-1.0
mentally handle covid variant please	o	-1.0
#genocidalmilitaryblock aidsarbitrarily abduct medics giving medical support civiliansthose spearheaded #covid19 prevention jailsave 54 million	g	-1.0
variant covid 19 horizon people themselves worth dying vaccine kill vaccine keeping people alive vaccine prevent future occurrences mutation beg vaccinated help stop	p	1.0
pandemic hits	o	0.0
refuse admit vaccinated ok brainwashed time day realize	ov	-1.0
omicron scott morrisons leadership call 18 months purpose built quarantine absolute disgrace colossal failure government pm claims 4 aus nope close	g	-1.0
babies dont fledged immune system afaik vaccine isnt suitable	ov	0.0
south african white people pandemic	g	-1.0
atmospheric rivers ployguess wont hear quote onewhat happened heavy rains etcjust bs folks people panic fear mode covid hear sky falling sky falling	s	-1.0
article days ago reminder africa surprising surprising advantages covid reasons logistics 1 countries south africa vaccine	g	0.0
dozen variants biden fauci named getting panic lockdown response wantso putting names outbreakthey lie created called communist variant	g	-1.0
interestingly cancers 3000 bc theyve found cure found vaccine covid19 five months #interesting #knowledgeispower	ov	0.0
covid parenting reaching breaking atlantic	o	0.0
news media trying scare covid variant #omicron	ov	-1.0
setup omicron transmissblesome masks dont lot dont history omicron amongst mask noncompliance gang blamed lockdown psyop hesitant	a	0.0
argument youd risk unkown term effects jab risk 99 survival rate covid	p	0.0
variant corona omicron caused disturbance world#vaccine #covidvaccine #deltastrain #omicron #newvariant #corona #getvaccinated #covid19 #smccenters #rtpcr #smcvaccination #suratcitynews #surat #suratcity #citynews #suratnews #chaitimefeed	ov	-1.0
india post vaccination death #10532 #10534karnataka dr gn ganesh kumar died 27 apr taking doses vaccine dr mahesh died 18 dr ramegowda cc died 29 apr 1st dose vaccine	a	0.0
world struggling pandemic required lockdown share openly vaccine developed mass produce vaccines deal loss patents recovery deliver corner world wed avoided mutations	m	-1.0
time oz greek orthodox ousted unholy archbishopoz taxe meant 2 treat elderly@stbasils respect care elderly earned rest 2 archbishops robeluxury pad wasnt supposed 2 live inst basils neglect50 covid	g	0.0
yesterdays day yesterdays catch havent weekend sick worries covidfree	o	1.0
missing endless jabs toxic spike production increasing chance severe damage 15 months spike lingers jab compounds damage dr peter mccullough spoken repeatedly	a	0.0
im listening fear mongers agenda government pharma media kids chance vaccine injury harm virus	a	0.0
covid shots kids help prevent dangerous variants via	p	0.0
moderna booster isnt bad shot #2 damn feel hit truck	p	0.0
healthcare professionals duty support vaccine hesitant patients concerns judgement actively listening explaining data terms building trust allow space process questions patient judgement 22	a	1.0
switzerland vote covid restrictions increase	g	0.0
missouri judge tosses covid19 health calling naked lawmaking bureaucrats	g	-1.0
haaaaave photoshoot tulip festival ottawa aprilish idk covid cancelled ahh itd	m	1.0
kenya coercive measures vaccinated lifted	a	-1.0
reason measures #omicron	m	-1.0
infected vaccinated dieonce infected unvaccinated dieget wont	ov	-1.0
yes banga totally bill comes rules change completely vax lockdowns victoria lockdown 2022 bill comes lockdowns worse 2020 2021	g	-1.0
yes issues occur time rate unvaccinated vaccinated theres causal link evident clinical trials andor spikes compared previous	a	0.0
shouldnt released bioweapon maybe shouldnt create escape variants using nonsterilizing vaccine transfection people clueless understanding immunology history geopolitics propagandized	g	-1.0
recommend ppl pfizer pill reduce chance hospitalization 95 tell trying hydroxychloroquine ivermectin	ov	-1.0
family florida timescovid masking isnt prepare yourself alternate reality experience	o	1.0
travellers test positive omicron strain covid19 sydney seriously surprised shitney strain covid country started australia wouldnt continue trend	g	-1.0
participated exactly taking questionable vaccine limited data politicized oblivion democrats yeah participate superior natural immunity doing fine sweetheart	a	0.0
china donate 600 million covid19 vaccine doses africa	g	1.0
civil services covid relief consider suffering pain govt help grant fair opportunity #upscextraattempt	g	1.0
kaye adams shares candid health update 24 hours covid booster jab	ov	0.0
10 days quarantine 2000	o	0.0
joined book club pandemic hits skips bizzaro	o	1.0
maskwearing anti vaccine dolts dont care rule disingenuous killer government hope hes hospital soon recovers	p	-1.0
aspirants attempt prior 2020 advantageous position covid warriors demand equity justice #upscextraattempt@pmoindia@doptgoi@smritiirani@amitshah@drjitendrasingh@bjpmahilamorcha#2	o	0.0
reason particular pandemic depression snacks ive partaken saying maybe are1 toast siracha vegan mayo2 spoon peanut cooked lighter3 tortilla chips ketchup	o	0.0
cult obsession vaccine indicates obviously incentive pushing hard	o	-1.0
youre suffering insanity seriously read people mocked unvaxed died clotsheart attack adverse events covid anyway loselose approach	p	-1.0
live reportalsa english championship 2021creativity midst pandemicagenda penutupan oleh mc eli ardalyazoom cloud meeting	g	0.0
canadians biggest drop gasoline prices 2009 covid variant fears	g	-1.0
abbott costello kept head ass beginning pandemic fails hes brain cell	g	-1.0
york declares emergency fight omicron variant	g	0.0
yep apparently 5000 refused jab	ov	0.0
6 booster shots 3 vaccine	a	0.0
mandatory vaccination tricky considering constitution bet implement mandatory rapid covid tests entering establishments	ov	0.0
left southern borders 150000 unvaccinated illegal immigrants coming country 150 countries monthly travel bans countries omicron makes sense smoke mirrors	g	-1.0
rational shutting covid	m	-1.0
stricter border control testing past experience original covid strain delta variant taught solutions avoid surge sana wag lang reimposition ng shield policy ang pagtuunan ng pansin	g	-1.0
saying 5 lockdowns reason 6th didnt makes sense vax rate 6th lockdown	m	-1.0
proof vaccination becoming irrelevant contexts	ov	0.0
22 identified saying reservoir surprise african countries omicron european countries documented mild symptoms hard pinpoint	g	-1.0
fuckin weird ppl spend time money energy getting fake vaccination card opposed getting damn shot	m	-1.0
negative covid gender	o	0.0
covid19 pandemic concomitant vaccine antivaccination movement mainly identified specific myth idea vaccines cause	s	0.0
havent 2 shots cdc youre unvax soon youll 3 jabs cares act medicare addon payment 20 rural urban inpatient hospital covid19 patients follow	g	0.0
feel lonely quarantine	m	-1.0
delhi records 34 covid19 1 death	g	-1.0
canada australia report omicron fauci variant evade immune protection covid19 updates 877fm	g	-1.0
consistently vote own interestsyou dont orangehaired douchebag flying fuck outraged little youhow eg vaxx denialism help peoplehow voting rs help people	p	-1.0
uniquely qualified answer question1 strange days2 angus3 babysitters club4 casino5 brady bunch moviei watched 202 movies 1995 2020 pandemic lockdowns	o	-1.0
mask mandate ontario lifted increasing vaccine mandates wear maskget vaccines help humanity navigate pandemic live life following protocols	p	0.0
covid conservatives proxies spread fear distrust othersbidens sit choosing incite anger instead	g	-1.0
moderna booster friday az originally knackered yesterday mooched sofa	p	0.0
vaccinated people spread virus variant lies health afraid life sick dead easy care living anyway #covid #scam	a	-1.0
covid	o	0.0
upsc covid attempts@amitshah	o	0.0
november 28 2021infograpahics re covid 19	o	0.0
covid	o	0.0
read tweet omicron variant democrats plan win votes pisses	g	-1.0
covid raging india multiple restrictions imposed day day lives schools closed local trains didnt ply worships rathyatra curtailed life normal elections deferred	g	0.0
saying mandatory vaccineyou vaccine free wont feel forced youll feel chose	p	1.0
please reconsider offline classes colleges time view ongoing heavy rains concerns covid virus variant omicron offline exams settle ok	m	1.0
bitter youll feel prime minister morrison tells book 3rd jab asaponce obey scotty youll aggressive	g	0.0
definitely worth noting swansea council trying close cinema co 1984 uk gov act welsh gov covid legislation	g	0.0
travel ban wont help bit #omicron weeks delta proved travel band hardly changed hoping close herd immunity milder third wave #coronavirus	m	1.0
hes adequate job theyll fit run country moment theres control borders whatever gasoline nys 4 vaccine mandates unconstitutional	g	-1.0
statement obvioususing nonsterilising #vaccines pandemic insanity train #virus dodge efficacyof course scientists ignored intended	s	0.0
global pandemic joke	o	-1.0
covid ass proven myth 90 casesshifts remaining uncovered understaffed underfunded people punished wise mean fucking finally bullshit chose environment pt1	o	-1.0
oh im sorry covid speedy recovery	o	1.0
omicron covid c19mobile phoneanthropomorphization subjectobjectsubject relationship theocratic therapeutic relationship medicinehes world hands	s	0.0
covid carewash ur hands wear mask watch distsnce ventilation vaccination plese ptopagate dr rao	o	0.0
civil services covid relief #upscextraattempt protesting demands sign development sir	m	-1.0
vote send covid gitmo media pharma execs	g	0.0
vaccinated getting country tisk tisk	g	-1.0
governments definition masks include coveringscloths proven stop transmission personally people wearing time caught covid imo worth considering	m	0.0
bbc news covid variant omicron detected	g	0.0
omicron variant stock market morning	o	0.0
hardly matters handled planes massive exposure expect develop covid symptomatic	o	-1.0
stats gender digital divide africa uganda narrowing increasing effect covid19 divide@wougnet	s	0.0
people triple masked bart cant lockdown	m	0.0
honor getting covid scares mid stream recently scene 7 stages trauma whatever streaming 12 hours tomorrow day dumb month	o	-1.0
uk germany italy detect omicron variant israel closes borders breaking news daily mirror	g	-1.0
hope lockdown	m	-1.0
doesnt squirrel balls brics	g	0.0
troublesome obtain covidgtproceeds double	o	0.0
scaffolding market	o	0.0
discussion bitchute jim fetzernew covid scariant dr	ov	0.0
covid variant omicron detected london sydney daily	g	-1.0
update pakistan banned flights 6x african countries hong kong due growing concerns covid variant omicron	g	0.0
dm reallyyyyy hope funds research restore covid survivors taste smell beyond frustrating knowing tastes smells	s	-1.0
im theres evidence damn vaccine	a	0.0
omicron oh godou mai cronou mai god@papusyolivus	o	0.0
southeast asian countries continue rank lowest indonesia malaysia thailand vietnam philippines bottom six third month bloombergs covid resilience ranking via	g	0.0
soft targets africa isolated omicron variant shameless knee jerk reaction populism beat	g	1.0
vaccination own isnt achieve herd immunity wed huge population vaccinated infections vanishingly rare arent near thatso masks sd triad	s	1.0
greek keyboard iphone speak math cant break twitter news little omicron talking youtuber confused	o	0.0
unfortunately lot people agree himevidently lot deaths preferable vaccination	p	-1.0
bff read naver article sofi 47k seats bc pandemic situation stuff sold rounds 188k seats seat tickets released expect 200k	o	-1.0
hope india panic omicron tests vaccines solution lockdowns travel banstoo livelihoods stake	m	0.0
oh gladly wear mask public day inconvenience minor ive close friends die covid thats real inconvenience wearing mask getting ten shots issues comparison death spoiled americans	p	-1.0
omicron	o	0.0
handle pandemic	o	0.0
#omicron milder #covid19 variants govt messages mild infections arent extremely dangerous wrong1 graph milder disease actually kill peopleand2 milder disease run rampant cause lethal variants develop	s	-1.0
fake jab president elon musk taking covid test 4 times positive twice forcing survived vaccinate antibodies refuse sheep led slaughter	a	-1.0
dunno covid toe apparently indicates infection	o	0.0
covid brain fog antivaxxer	ov	0.0
coetzee added patients healthy half og vaccinatedstop cherry picking	s	-1.0
oh deal news flash vaccine covid hello	ov	-1.0
similarly hyping decentralized web weve seen social media misinformationdriven covid surges capitol stormings misplaced effort reeks cool tech sake cool tech	o	-1.0
click below 1984 study coronavirus using strains 70s people alive immunity current covid	s	0.0
juniors reasonable exemptions understand varied views statutory freedom choice removed lockdown rules nec people doing day job arent risk children dont covid vul relatives	o	0.0
york democrat gov kathy hochul time declared time im ill fine vaccine #holdouts declare completely safe29104 left disabled	g	-1.0
episode dropping soon available patrons im wont else ep 17 toms covid	o	0.0
madam cant close educational institutions schools colleges variant covid19 dangerous threatening close advance solution please	m	1.0
article helpful advised covid	s	1.0
omicron variant poses global risk	g	-1.0
cohort vaccinated people unvaccinated	o	0.0
issue covid isnt bad vaccines strictly optional rightso care covid greg	a	0.0
yes sweden saved democracy avoiding totalitarian measures successful neighbours dont remembernow implementing covid passport democracy dead threat	g	-1.0
hot chocolate jar heated people virus concerns personal inexpensive covid transmitted air fomites rare elevator studies didnt account 4 particles linger air	s	0.0
doesnt matter art quarantine facilities youre quarantining people	o	0.0
currently 90 people hospitalised uk variant covid unvaccinated mix unlucky immune deficient	s	0.0
2he catch omicron variant tanzania	g	0.0
airlines log busiest days 2020 thanksgiving omicron poses challenge	m	0.0
#covidroundtable story bhartiya vaccine minds indias success bharat biotech picked upprof vijayaraghavan principal scientific advisor goi dr krishna ella chairman bharat biotech explain process special broadcast	s	0.0
democrats crying covid	g	0.0
shocking waste time guidance covid guidance please staff safe nonsense	m	-1.0
reason ny governor shutting medical reasons	m	0.0
ironically covid caught 2nd time isolation 10 days symptoms mild zero symptomsso yea agree complete eradication impossible	ov	0.0
china president xi jinping china offer billion doses covid19 vaccines african countries encourage chinese companies invest 10bn africa years#china	g	1.0
ngl mentioned omicron misspelling title game	o	0.0
positive covid19 pandemic shown past change doing inclusive	o	1.0
personnel bangued mps led pssg ronald ochovillo conducted police visibility assistance 3day vaccination motorcade provincial capito zone 5 bangued abra#pnpkakampimo#teampnp#pnptoserveandprotect	o	0.0
dont support moved level family friend dr died covid weeks ago exist	o	0.0
day remembrance victims chemical warfare precursors covid thank sacrifices vain fucking idiots committing biological warfare forced wear masks	o	-1.0
covid variation activate health sector #medicalchain	o	0.0
oh invest dictionary aware injustices dangerous covid ridiculed beyond	o	-1.0
yessssss ive little cocktail covid vaccines	ov	0.0
world alert #netherlands #australia #italy #czechrepublic #germany confirm #omicron #covid19 variant#covid19variant	g	0.0
thoseget flu unvaccinated arent riddled covid infected unvaccinated ounce science truth statement	o	-1.0
wrong covid19 vaccine causes myocarditis	ov	-1.0
covid strain	o	0.0
coachs corner 2 pandemic pnk pandemic museenjoy normal season waited time fans	m	1.0
hi adam cant pcr covid month ago advice ocrs 90 days unless symptoms	m	0.0
pass jab	o	0.0
conspiracy theorists conspiracy theoristi discovered rabidly anti vaxx cousin yesterday wife told 50 cousins hard track	o	0.0
post omicron variant vaccine inequality wakeup call south africas president ramaphosa video published	g	0.0
shutting doors low impact sending millions vaccine doses africa stem mutations time donate vaccines 6 months ago time	g	0.0
britain hold g7 meeting monday health leaders africa asia south america support g7 increase vaccines	g	0.0
onto subscription service infinity jab	ov	0.0
omega vs omicronno sharing ignorance world	o	-1.0
south africa johnson johnson pfizer delay delivery covid19 vaccines stock health ministry officials vaccine hesitancy slows inoculation campaign	g	0.0
overall global risk related variant concern #omicron assessed un agency urged countries accelerate vaccination highpriority read #uae #dubai #dxb	g	0.0
wrapping pandemic album looks ill strapping 3rd 4th looking forward hits tour 2027	o	1.0
simple french fable building residents quarantined covid meaningful powerful netflix stuck	o	0.0
south african doctor omicron variant symptoms unusual mild #foxnews	s	0.0
b11529 covid variant worrying weve seen top uk medical adviser	g	-1.0
zoo covid started partly stop visitors congregating look partly zoo keepers caring safe offsite thats actually correct info understanding	m	0.0
vintage french tin box vintage elesca milk cocoa powder tin box canister coffee tin box kitchen decor christmas gift france 30s #cyber2021 #blackfriday #freeshipping #gifts #retro #covid19 #vintage #thanksgiving #frenchtinbox	o	0.0
stop referring #omicron #southafricavariantafricans living india receiving lot hate race imagine additional stigmatization cause please stop#omicronvarariant #omicorn #covidvariant	g	0.0
lewa robbed announce omicron	o	0.0
heart broke hearing saying thisperforming korea empty covid feel eight ago park jimin	m	-1.0
vaccine temporarily affect virus definitely mandate woman child takes real prize world govts monitored 247 qr codes vaccine passports pandemic perfect opportunity	g	-1.0
dr bhakdi argues vaccine injected muscles protect virus attacks respiratory system gt solution nasal spray vaccinehe calls #ophthalmologists collect evidence thrombosis eye vessels vaccinated individuals	s	0.0
amidst dark cloudsa subtle silver lining hopelike rainbow life exists times #northeastmonsoon #chennairains #covidvariant #omicron strengthen hardship time prepared	o	1.0
covid bubble breached	o	0.0
vaccine ponzi scheme rona variants goingthey dont care	a	-1.0
87 unvaxxedhow compare vax rate particular region confident hospitalized infected #omicron delta hospitalizations deaths lagging indicators	s	0.0
delta variant dont actually booster jab mind virus mutates wears	p	0.0
hi regularize review vaccination cards bags tickets safety thousands people stake letting stadium unchecked hope solved asap thanks	m	0.0
covid variation activate health sector #medicalchain	o	0.0
warp speeds holiday gift minionsmore shots pfizerbiontech vaccines effectiveness omicron variant soon ship jab tailored emerging variant 100 days	o	0.0
hardly shambles 17million currently vaccinated id fantastic achievement nhs workers carrying vaccine programme aswell normal job shattered	ov	1.0
matter dont vaccine choose harden heads	a	0.0
true pandemic unfortunate sorts real	o	0.0
joe biden kamala harris slammed omicron covid variant travel ban resurfaced tweets dont	g	-1.0
exactly omicron net positivemore transmissibleless lethal means vaxed freedom reasons geographic location exposed mild form covid doesnt require hospitalizationsresult death rapid build global immunity	o	1.0
omicron shiny object follow	o	1.0
support elseis vote lazy steve 2022 2 lazy steve ignored #wheelchairuserwatch video #covid19my	g	0.0
talking healthy hearts #myocarditis #vaccinesideeffects #ableg vaccines covid causing athletes collapse field	ov	0.0
vaccination gt gt nwo	o	0.0
uk covid measures announced tackle omicron spread #smartnews	m	0.0
figures wrong display false facebook memes	o	-1.0
oh ffs ivermectin grifting doctors fleecing dying patients money using drug proven covid vivo bet monoclonal giving irrespective antibody status thatll cost patient grand	o	-1.0
democrats realize policies telling americans expect prices supply change crisis chaos southern border looting stores defunding police unsolved covid crisis smart leadership biden	g	-1.0
actual cdc guidance counts covid19 death determine covid19 deaths cdc investigates accuracy peer reviewed studies excess death statistics covid19 deaths actually underreported reported	s	0.0
vaccinated distancing im jeopardize trip york yall coughing	o	0.0
considering covid questions draft selections raw ol picks confirm	o	0.0
omicron chart	o	0.0
financial markets increased volatility due omicron kbs world	o	0.0
boris johnsons plans safe winterplan apretend covid19 overplan bdither delay reluctantly introduce half arsed measures late blame catching	g	-1.0
ugh whatever boy trash team season head sand repeating catch shoot stats covid season basis edwards idgaf youre dummy	o	-1.0
planning walk hour moderna booster looking forward exercise reward home stream play cyberpunk	p	1.0
dr reiner fuellmich scientific evidence covid crime humanity collected undeniable evidence covid pandemic planned criminal operation	s	-1.0
covid variant means getting dial dial controls	o	0.0
im pretty theatres didnt decide mandate vaccine passports hands tied government doesnt sound free	m	-1.0
governor massive communication campaign texan #covidisairborne indoor ventilation air filtration crucial easy covid mitigation strategies urgently implemented buildings	g	1.0
vaccine powerful natural immunity trial	s	0.0
yeah omicron variant gonna bad	o	-1.0
unvaxed education camps option look dying recklessness personally 2 people died covid related causes unvaxxed taking hospital beds	p	0.0
happened haitian immigrants previous wellcovid deal flu illegals kill spreading covid	o	-1.0
quarantine tomorrow	o	0.0
covid variation theyre doing sooner time doesnt change mutation harmful	o	0.0
omicron sponsored countdown	o	0.0
tories 444m pandemic	g	-1.0
disgrace vaccinated people bringing strains beautiful country	ov	-1.0
facing omicroni wear mask washing hands social distancing im flinching anymore im stop life time shit tough damn vaccine dont tempt death	p	0.0
